Genus,Species,subspecies,Family,Climate zone,Forest type,Positon,Diameters (cm),Model type,Target variable,k (per year),stderr k (per year),Decay resistance,Initial density (Mg per m cubed),Reported precipitation (mm per year),Reported temperature ( C ),WC precipitation (mm per year),WC temperature ( C ),Reference,
Abies,amabilis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,density,0.005,-99,0,0.423,2300,4.7,1930,4.71,"Ericson et al, 1985",
Abies,amabilis,.,Pineacae,Temperate,EF,CWD-downed,8 - 12,S,mass,0.051,0.003,0,0.382,2500,10,1526,8.66,Harmon et al 2005,
Abies,balsamea,.,Pineacae,Temperate,EF,CWD-downed,8 - 15,S,density,0.0112,-99,0,0.352,1800,0,1409,3.68,Lambert et al. 1980,
Abies,balsamea,.,Pineacae,Temperate,EF,CWD-downed,10 - 15,S,density,0.029,-99,0,0.36,1335,3.4,1197,6.63,Foster and Lang 1982,
Abies,balsamea,.,Pineacae,Temperate,EF,CWD-downed,8 - 15,S,mass,0.0299,-99,0,0.36,1800,0,1409,3.68,Lambert et al. 1980,
Abies,concolor,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.035,0.003,0,0.396,1054,4,1182,3.86,Harmon et al 2005,
Abies,concolor,.,Pineacae,Temperate,EF,CWD-downed,20,S,density,0.049,-99,0,0.396,1130,10.35,548,6.22,Harmon et al. 1987,
Abies,concolor,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.051,0.004,0,0.396,1130,8,784,1.04,Harmon et al 2005,
Abies,grandis,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.038,0.009,0,0.396,813,7,548,6.22,Harmon et al 2005,
Abies,lasiocarpa,.,Pineacae,Temperate,EF,CWD-downed,15,L,mass,0.029,0.002,0,-99,660,2,583,2.24,Laiho and Prescott 1999 ,
Abies,lasiocarpa,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.035,0.003,0,-99,737,0.5,612,0.49,Harmon et al 2005,
Abies,lasiocarpa,.,Pineacae,Temperate,EF,CWD-downed,15,S,mass,0.054,0.007,0,-99,638,2.85,846,3.96,Herrmann and Prescott 2008,
Abies,magnifica,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.043,0.004,0,0.396,1054,4,1182,3.86,Harmon et al 2005,
Abies,procera,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.023,0.004,0,0.396,2221,6.7,1526,8.66,Harmon et al 2005 a,
Abies,procera,.,Pineacae,Temperate,EF,CWD-downed,>10,S,mass,0.03,0.009,0,0.396,1778,8.3,893,7.99,Harmon et al 2005 a,
Abies,siberica,.,Pineacae,Boreal,EF,CWD-various,>8,S,density,0.032,0.001,0,0.349,601,1.38,657,1.24,Shorohova and Kapitsa 2014 ,
Acer,rubrum,.,Sapindaceae,Temperate,DF,CWD-downed,>10,S,mass,0.17,0.013,0,0.436,1202,15.1,1168,15.08,Harmon et al unpublished,
Acer,rubrum,.,Sapindaceae,Temperate,DF,CWD-downed,15,S,density,0.081,0.015,0,0.559,1820,12.9,1924,11.90,Mattson et al 1987,
Acer,rubrum,.,Sapindaceae,Temperate,DF,CWD-downed,5 - 15,S,density,0.08,-99,0,0.58,1470,13,1460,12.58,Harmon 1982,
Acer,saccharinum,.,Sapindaceae,Temperate,DF,CWD-downed,-99,S,mass,0.089,-99,0,-99,866,11.4,1016,11.18,Chueng and Brown 1995 ,
Acer,saccharum,.,Sapindaceae,Temperate,DF,CWD-downed,>10,S,density,0.037,-99,0,0.68,737,6.7,778,6.88,Hale and Pastor 1998,
Acer,saccharum,.,Sapindaceae,Temperate,DF,CWD-downed,>10,S,density,0.079,0.007,0,-99,1395,5.5,1048,7.19,Johnson et al 2014,
Acer,sp,.,Sapindaceae,Temperate,DF,CWD-downed,4 - 47,S,density,0.0452,-99,0,0.4916,1180,11.3,1169,12.47,MacMillan 1988,
Allocasuarina,fraseriana,.,Casuarinaceae,Temperate,EF,CWD-downed,3 - 15,S,mass,0.072,-99,2,0.44,1035,17.5,382,17.68,Brown et al 1996,
Alnus,rubra,.,Betulaceae,Temperate,EF,CWD-downed,>10,S,mass,0.055,-99,0,-99,2489,10,1060,11.37,Harmon et al 2005 a,
Alnus,rubra,.,Betulaceae,Temperate,EF,CWD-downed,>10,S,mass,0.083,0.012,0,-99,2500,10,1526,8.66,Harmon et al 2005 a,
Angiosperma,sp,.,na,Temperate,DF,CWD-downed,> 3,S,mass,0.096,-99,0,0.6,1300,5,1048,7.19,Arthur et al 1993,
Arbutus,menziesii,.,Ericaceae,Temperate,EF,CWD-downed,>10,S,mass,0.016,0.002,0,-99,2900,11,1797,11.67,Campbell et al 2016,
Arbutus,menziesii,.,Ericaceae,Temperate,EF,CWD-standing,>10,S,mass,0.01,0.002,0,-99,2900,11,1797,11.67,Campbell et al 2016,
Beaucarnea,pliabilis,.,Asparagaceae,Tropical,TD,CWD-downed,15,S,density,0.531,-99,0,0.27,1100,25,1195,13.96,Harmon et al. 1995,
Beilschmiedia,tawa,.,Laurelaceae,Temperate,EF,CWD-downed,-99,S,density,0.0312,0.0039,0,-99,1600,10.25,1424,12.11,Beets et al 2008,
Betula,alleghaniensis,.,Betulaceae,Temperate,DF,CWD-downed,>10,S,density,0.065,0.006,0,-99,1395,5.5,1048,7.19,Johnson et al 2014,
Betula,costata,.,Betulaceae,Boreal,MF,CWD-downed,>10,S,mass,0.03,0.003,0,0.516,909,1.9,773,0.01,Yatskov et al 2003,
