code,tipo de bosque,id,elev_1,elev_2,elevation,amt_1,amt_2,temperature,tpa_1,tpa_2,precipitation
14150,Bosque húmedo montano,bh-M,2800,3700,4100,6,12,50,500,1000,10000
24150,Bosque muy húmedo montano,bmh-M,2800,3700,4100,6,12,50,1000,2000,20000
34150,Bosque pluvial montano,bp-M,2800,3700,4100,6,12,50,2000,4000,30000
14051,Bosque seco montano bajo,bs-MB,1800,2800,4000,12,18,51,500,1000,10000
24051,Bosque húmedo montano bajo,bh-MB,1800,2800,4000,12,18,51,1000,2000,20000
34051,Bosque muy húmedo montano bajo,bmh-MB,1800,2800,4000,12,18,51,2000,4000,30000
44051,Bosque pluvial montano bajo,bp-MB,1800,2800,4000,12,18,51,4000,8000,40000
13952,Bosque seco premontano,bs-PM,800,1800,3900,18,24,52,500,1000,10000
23952,Bosque húmedo premontano,bh-PM,800,1800,3900,18,24,52,1000,2000,20000
33952,Bosque muy húmedo premontano,bmh-PM,800,1800,3900,18,24,52,2000,4000,30000
43952,Bosque pluvial premontano,bp-PM,800,1800,3900,18,24,52,4000,8000,40000
13853,Bosque muy seco tropical,bms-T,0,800,3800,24,40,53,500,1000,10000
23853,Bosque seco tropical,bs-T,0,800,3800,24,40,53,1000,2000,20000
33853,Bosque húmedo tropical,bh-T,0,800,3800,24,40,53,2000,4000,30000
43853,Bosque muy húmedo tropical,bmh-T,0,800,3800,24,40,53,4000,8000,40000
53853,Bosque pluvial tropical,bp-T,0,800,3800,24,40,53,8000,10000,50000
