id,simbolo,zona,amt1_c,amt2_c,pta1_mm,pta2_mm,elev1_m,elev2_m,leyenda
1,d-T,Desierto Tropical,0,24,62.5,125,0,1000,Cálido árido
2,Md-ST,Matorral desértico subtropical,0,24,125,250,0,1000,Cálido árido
3,Me-ST,Monte espinoso subtropical,0,24,250,500,0,1000,Cálido semiárido
4,Bms-T,Bosque muy seco tropical,0,24,500,1000,0,1000,Cálido muy seco
5,Bs-T,Bosque seco tropical,0,24,1000,2000,0,1000,Cálido seco
6,Bh-T,Bosque húmedo tropical,0,24,2000,4000,0,1000,Cálido húmedo
7,Bmh-T,Bosque muy húmedo tropical,0,24,4000,8000,0,1000,Cálido muy húmedo
8,Bp-T,Bosque pluvial tropical,0,24,8000,,0,1000,Cálido pluvial
9,d-PM,Desierto premontano,18,24,62.5,125,1000,2000,Templado muy seco
10,Md-PM,Matorral desértico premontano,18,24,125,250,1000,2000,Templado muy seco
11,Me-PM,Matorral espinoso premontano,18,24,250,500,1000,2000,Templado muy seco
12,Bs-PM,Bosque seco premontano,18,24,500,1000,1000,2000,Templado seco
13,Bh-PM,Bosque húmedo premontano,18,24,1000,2000,1000,2000,Templado húmedo
14,Bmh-PM,Bosque muy húmedo premontano,18,24,2000,4000,1000,2000,Templado muy húmedo
15,Bp-PM,Bosque pluvial premontano,18,24,4000,,1000,2000,Templado pluvial
16,d-MB,Desierto montano bajo,12,18,62.5,125,2000,2500,Frío muy seco
17,Md-MB,Matorral desértico montano bajo,12,18,125,250,2000,2500,Frío muy seco
18,Ee-MB,Estepa espinosa montano bajo,12,18,250,500,2000,2500,Frío muy seco
19,Bs-Mb,Bosque seco montano bajo,12,18,500,1000,2000,2500,Frío seco
20,Bh-MB,Bosque húmedo montano bajo,12,18,1000,2000,2000,2500,Frío húmedo
21,Bmh-MB,Bosque muy húmedo montano bajo,12,18,2000,4000,2000,2500,Frío muy húmedo
22,Bp-MB,Bosque pluvial montano bajo,12,18,4000,,2000,2500,Frío pluvial
23,d-M,Desierto montano,6,12,62.5,125,2500,3000,Muy frío seco
24,Md-M,Matorral desértico montano,6,12,125,250,2500,3000,Muy frío seco
25,e-M,Estepa montana,6,12,250,500,2500,3000,Muy frío seco
26,Bh-M,Bosque húmedo montano,6,12,500,1000,2500,3000,Muy frío húmedo
27,Bmh-M,Bosque muy húmedo montano,6,12,1000,2000,2500,3000,Muy frío muy húmedo
28,Bp-M,Bosque pluvial montano,6,12,2000,,2500,3000,Muy frío pluvial
29,d-SA,Desierto subalpino,3,6,62.5,125,3000,3500,Subpáramo muy seco
30,Md-SA,Matorral desértico subalpino,3,6,125,250,3000,3500,Subpáramo seco
31,Mh-SA,Monte húmedo subalpino,3,6,250,500,3000,3500,Subpáramo húmedo
32,p-SA,Páramo subalpino,3,6,500,1000,3000,3500,Subpáramo muy húmedo
33,Pp-SA,Páramo pluvial subalpino,3,6,1000,,3000,3500,Subpáramo pluvial
34,Ts-A,Tundra seca alpina,1.5,3,62.5,125,3500,4500,Páramo seco
35,Th-A,Tundra húmeda alpina,1.5,3,125,250,3500,4500,Páramo húmedo
36,Tmh-A,Tundra muy húmeda alpina,1.5,3,250,500,3500,4500,Páramo muy húmedo
37,Tp-A,Tundra pluvial,1.5,3,500,,3500,4500,Páramo pluvial
38,N,Nieve,0,1.5,>0,,4500,,Nival
